"Akkar | Aadouiye - عدوي"
"Baalbek-El Hermel | Taraiya - طاريا"
"Baalbek-El Hermel | Tfail - طفيل"
"Baalbek-El Hermel | Toufiqiye - التوفيقية"
"Baalbek-El Hermel | Wadi Bnit - وادي بنيت"
"Baalbek-El Hermel | Wadi Faara - وادي فعرا"
"Baalbek-El Hermel | Wadi el Assouad - وادي الاسود"
"Baalbek-El Hermel | Wadi el Oss - وادي القصص"
"Baalbek-El Hermel | Yahfoufa - يحفوفا"
"Baalbek-El Hermel | Yammoune - يمونة"
"Baalbek-El Hermel | Younine - يونين"
"Baalbek-El Hermel | Zabboud - زبود"
"Baalbek-El Hermel | Zarayeb - زرايب"
"Baalbek-El Hermel | Zarayeb Choukr - زرايب شكر"
"Baalbek-El Hermel | Zeribet es Sabha - زريبة الصبحا"
"Baalbek-El Hermel | Zighrine - زغرين"
"Baalbek-El Hermel | Zighrine Et Tahta - زغرين التحتى"
"Baalbek-El Hermel | Zouaitini Zighrine - الزويتينه زغرين"
"Baalbek-El Hermel | Zrazir - زرازير"
"Beirut | Aadlyeh - العدلية"
"Beirut | Achrafiye - الاشرفية"
"Beirut | Ain El Tine - عين التينة"
"Beirut | Ain Er Remmane - عين الرمانة"
"Beirut | Ain Er Roummane - عين الرمانة بعبدا"
"Beirut | Ain Mreisse - عين المريسه"
"Beirut | Al Hikmat - حكمة"
"Beirut | Awkar-Maten"
"Beirut | Bab Idriss - باب إدريس"
"Beirut | Bachoura - باشورة"
"Beirut | Baouchriye - بوشرية"
"Beirut | Basta Faouka - بسطا الفوقا"
"Beirut | Basta Tahta - بسطا التحتا"
"Beirut | Beirut - بيروت"
"Beirut | Beirut Central District - وسط بيروت"
"Beirut | Bir Hassan - بئر حسن"
"Beirut | Borj El Brajne - برج البراجنة"
"Beirut | Borj Hammoud - برج حمّود"
"Beirut | Bourj Abi Haidar - برج أبو حيدر"
"Beirut | Champ de courses - ميدان سباق الخيل"
"Beirut | Chiayah - شياح"
"Beirut | Corniche El Naher - كورنيش النهر"
"Beirut | Dahye"
"Beirut | Daoura - دورة"
"Beirut | Dar Al Fatwa - دارالفتوى"
"Beirut | Dekouane - دكوانة"
"Beirut | Ej Jeitaoui - جعيتاوي"
"Beirut | El Aamliye - عاملية"
"Beirut | El Achrafiye - أشرفية"
"Beirut | El Ghabe - غابي"
"Beirut | El Hamra - حمرا"
"Beirut | El Horge - حرش"
"Beirut | El Majidiye Beirut - مجيدية (بيروت)"
"Beirut | El Manara - منارة"
"Beirut | El Ouzaai - اوزاعي"
"Beirut | El Qalaa Sin El Fil - قلعة سن الفيل"
"Beirut | El Wata - الوطى"
"Beirut | El Zarif - ظريف"
"Beirut | En Nabaa - النبعه"
"Beirut | Er Raouda - روضة"
"Beirut | Er Rouais - الرويس"
"Beirut | Fourn el Hayek - فرن الحايك"
"Beirut | Furn Ech Chebak - فرن الشباك"
"Beirut | Gemmayze - جميزة"
"Beirut | Ghobeire - غبيري"
"Beirut | Grand Serail - سراي الكبير"
"Beirut | Haret Hraik - حارة حريك"
"Beirut | Hay Es Sellom - حي السلم"
"Beirut | Horch Tabet - حرش تابت"
"Beirut | Hotel Dieu - اوتيل ديو"
"Beirut | Jamia - الجامعة"
"Beirut | Jdaide El Meten - جديدة المتن"
"Beirut | Jisr - جسر"
"Beirut | Jisr El Bacha - جسر الباشا"
"Beirut | Jnah - جناح"
"Beirut | Jounblat - جنبلاط"
"Beirut | Khodr - الخضر"
"Beirut | La Sagesse - الحكمة"
"Beirut | Malaab - ملعب"
"Beirut | Manara - المنارة"
"Beirut | Mar Elias - مار الياس"
"Beirut | Mar Maroun - مار مارون"
"Beirut | Mar Mitr - مار متر"
"Beirut | Mar Mkhayel - مار مخايل"
"Beirut | Mar Nqoula - مار نقولا"
"Beirut | Mar Roukoz -  مار روكز"
"Beirut | Marfaa - مرفأ"
"Beirut | Mazraa - المزرعة"
"Beirut | Medouar - مدور"
"Beirut | Minet el Hosn - مينا الحصن"
"Beirut | Moussaitbe - مصيطبة"
"Beirut | Moustachfa er Roum - مستشفى الروم"
"Beirut | Najmeh - النجمة"
"Beirut | Nasra - الناصرة"
"Beirut | Palais De Justice - قصر العدل"
"Beirut | Parc - سباق الخيل"
"Beirut | Patriarcat - بطركية"
"Beirut | Place de l'Etoile - ساحة النجمة"
"Beirut | Qantari - قنطاري"
"Beirut | Qatar"
"Beirut | Qobaiyat - قبيات"
"Beirut | Qoraitem - قريطم"
"Beirut | Ramlet el Bayda - الرملة البيضا"
"Beirut | Raoucheh - روشه"
"Beirut | Ras Beirut - راس بيروت"
"Beirut | Ras El Nabaa - راس النبع"
"Beirut | Remeil - رميل"
"Beirut | Rouaiss - رويس"
"Beirut | Sabtiye - سبتيه"
"Beirut | Sad El Baouchriye - سد البوشرية"
"Beirut | Saife - صيفي"
"Beirut | Sanayeh - الصنائع"
"Beirut | Sinn El Fil - سن الفيل"
"Beirut | Sioufi - السيوفي"
"Beirut | Snoubra - صنوبره"
"Beirut | Tahouitet El Ghadir - تحويطة الغدير"
"Beirut | Tall Ez Zaatar - تل الزعتر"
"Beirut | Tallet Druze - تلة الدروز"
"Beirut | Tallet el Khayat - تلة الخياط"
"Beirut | Tariq El Jdide - طريق الجديدة"
"Beirut | Unesco - الاونسكو"
"Beirut | Universite Americaine - الجامعة الاميركية"
"Beirut | Universite St Joseph - جامعة القديس يوسف"
"Beirut | Zoqaq el Blat - زقاق البلاط"
"Bekaa | Aaiha - عيحا"
"Bekaa | Aali en Nahri - علي النهري"
"Bekaa | Aammiq - عميق"
"Bekaa | Aana - عانا"
"Bekaa | Aaqbe - عقبة راشيّا"
"Bekaa | Aaz el Aarab - عز العرب"
"Bekaa | Ablah - ابلح"
"Bekaa | Ain Aarab - عين عرب"
"Bekaa | Ain Aata - عين عطا"
"Bekaa | Ain Hircha - عين حرشة"
"Bekaa | Ain Kfar Zabad - عين كفر زبد"
"Bekaa | Ain Zebde - عين زبدة"
"Bekaa | Ain el Ghmiqa - عين الغميقة"
"Bekaa | Ain et Tine West Bekaa - عين التينة بقاع الغربي"
"Bekaa | Aita el Foukhar - عيتا الفخار"
"Bekaa | Aitanit - عيتنيت"
"Bekaa | Al Faour - الفاعور"
"Bekaa | Al-Wakf - الوقف بقاع الغربي"
"Bekaa | Anjar - عنجر"
"Bekaa | Baaloul - بعلول"
"Bekaa | Bab Maraa - باب مارع"
"Bekaa | Bakka - بكا"
"Bekaa | Bakkifa - بكيفا راشيا"
"Bekaa | Bar Elias - بر الياس"
"Bekaa | Bayader el Aadas - بيادر العدس"
"Bekaa | Bayyadat - البياضة"
"Bekaa | Beit Lahia - بيت لهيا"
"Bekaa | Bekaa - بقاع"
"Bekaa | Berbara zahle - بربارة زحلة"
"Bekaa | Bire rachaya - بيرة راشّيا"
"Bekaa | Bouarej - بوارج"
"Bekaa | Chamssine - شمسين"
"Bekaa | Chebreqiyet Aammiq - شبرقية عميق"
"Bekaa | Chebrqiyet Tabet - شبرقية تابت"
"Bekaa | Chtaura - شتورا"
"Bekaa | Dahr Blait - ضهر البلايط"
"Bekaa | Dahr al Harf - ضهر الحرف"
"Bekaa | Dahr el Ahmar - ضهر الاحمر"
"Bekaa | Dahr es Souane - ضهر الصوان"
"Bekaa | Dakoue - دكوة"
"Bekaa | Dalhamiye - دلهميه"
"Bekaa | Deir Ain ej Jaouze - دير عين الجوزة"
"Bekaa | Deir Tahnich - دير طحنيش"
"Bekaa | Deir Zenoun - دير زنون"
"Bekaa | Deir el Aachayer - دير العشاير"
"Bekaa | Deir el Ghazal - دير الغزال"
"Bekaa | El Faqaa - الفقعة"
"Bekaa | El Jezire - الجزيرة"
"Bekaa | El Marj - المرج"
"Bekaa | En Nabi Safa - نبي صفا"
"Bekaa | Er Ramtaniye - الرمطانية"
"Bekaa | Es Sraij - سريج"
"Bekaa | Fourzol - فرزل"
"Bekaa | Ghazze - غزة"
"Bekaa | Hakl Hammana - حقل حمانا"
"Bekaa | Haloua - حلوة"
"Bekaa | Hammara - حمارة"
"Bekaa | Haouch El Qinnabeh - حوش القنعبة"
"Bekaa | Haouch Moussa Anjar - حوش موسى عنجر"
"Bekaa | Haouch ed Dibs - حوش الدبس"
"Bekaa | Haouch el Mendara - حوش مندره"
"Bekaa | Haouch el Oumara Aradi - زحلة حوش الامراء أراضي"
"Bekaa | Haouch el Sayade - حوش الصيادي"
"Bekaa | Haret el Fikani - حارة الفيكاني"
"Bekaa | Haret el Kaouasbe - حارة الكواسبة"
"Bekaa | Harime es Soughra - حريمة الصغرى"
"Bekaa | Hazerta - حزرتا"
"Bekaa | Hechmech - حشمش"
"Bekaa | Houch Aammiq - حوش عميق"
"Bekaa | Houch El-Ghanam - حوش الغنم"
"Bekaa | Houch Hala - حوش حالا"
"Bekaa | Houch el Harime - حوش الحريمة"
"Bekaa | Houch es Saalouk - حوش السعلوك"
"Bekaa | Houch ez Zaraane - حوش الزراعنة"
"Bekaa | Jdita - جديتا"
"Bekaa | Jebb Farah - جب فرح"
"Bekaa | Jlala - جلالا"
"Bekaa | Joub Jannine - جب جنين"
"Bekaa | Kafraiya West Bekaa - كفريا بقاع الغربي"
"Bekaa | Kamed el Laouz - كامد اللوز"
"Bekaa | Kaoukaba - كوكبا"
"Bekaa | Karak Nouh - كرك نوح"
"Bekaa | Kfar Danis - كفر دنيس"
"Bekaa | Kfar Mechki - كفر مشكي"
"Bekaa | Kfar Qouq - كفرقوق"
"Bekaa | Kfar Zabad - كفر زبد"
"Bekaa | Khiara - الخيارة"
"Bekaa | Khiara el Aatiqa - خيارة العتيقة"
"Bekaa | Khirbet Qanafar - خربة قنافار"
"Bekaa | Khirbet Rouha - خربة روحا"
"Bekaa | Koussaya - قوسايا"
"Bekaa | Ksara - كسارة"
"Bekaa | Lala - لالا"
"Bekaa | Libbaya - لبايا"
"Bekaa | Loussia - لوسيا"
"Bekaa | MADINAT AL SINA'IYAT - مدينة الصناعية"
"Bekaa | Machgara - مشغرة"
"Bekaa | Majdal Balhis - مجدل بلهيص"
"Bekaa | Majdel Anjar - مجدل عنجر"
"Bekaa | Mansoura - المنصورة"
"Bekaa | Mar Elias Zahle - مار الياس زحلة"
"Bekaa | Marj Ez Zouhour - مرج الزهور"
"Bekaa | Marj es Simah - مرج السماح"
"Bekaa | Masnaa Zahle - المصنع زحلة"
"Bekaa | Massa - مسا"
"Bekaa | Mazraat Aazzi - مزرعة عزِي"
"Bekaa | Mazraat Ain Qeniye - مزرعة عين قنية"
"Bekaa | Mazraat Deir el Aachaiyer - مزرعة دير العشاير"
"Bekaa | Mazraat Jaafar - مزرعة جعفر"
"Bekaa | Mazraat Zahle - مزرعة زحلة"
"Bekaa | Mazraat el Mehqane - مزرعة المحقان"
"Bekaa | Mazraat el Qalioun - مزرعة القليون"
"Bekaa | Mazret Al Chmis - مزرعة الشميسة"
"Bekaa | Mdoukha - مدوخا"
"Bekaa | Meidoun - ميدون"
"Bekaa | Meksi - مكسة"
"Bekaa | Mhaidse - محيدثه"
"Bekaa | Mreijat - مريجات"
"Bekaa | Naassate - نعصات"
"Bekaa | Nabaa el Khraizat - نبع الخريزات"
"Bekaa | Nabi Aila - نبي ايلا"
"Bekaa | Nasriyet Rizq - ناصرية رزق"
"Bekaa | Nasriyet Zahle - ناصرية  زحلة"
"Bekaa | Niha zahle - نيحا زحلة"
"Bekaa | Ouadi ed Deloum - وادي الدلم"
"Bekaa | Ouadi el Aarayech - وادي العرايش"
"Bekaa | Qaa er Rim - قاع الريم"
"Bekaa | Qabb Elias - قب الياس"
"Bekaa | Qaraoun - القرعون"
"Bekaa | Qarqoud - قرقود"
"Bekaa | Qeisser - قيصر"
"Bekaa | Qillaya - قلايا"
"Bekaa | Qnaabe - قنعبة"
"Bekaa | Qommol - قمّل"
"Bekaa | Raait - رعيت"
"Bekaa | Rachaiya - راشيّا الوادي"
"Bekaa | Rafid - الرافد راشيا"
"Bekaa | Raouda Istabl - روضة إسطبل"
"Bekaa | Ras el Ain Zahle - راس العين زحلة"
"Bekaa | Rassiyeh - الراسية"
"Bekaa | Rayak - رياق"
"Bekaa | Saadnayel - سعدنايل"
"Bekaa | Saghbine - صغبين"
"Bekaa | Sahret el Qach - صحرة القش"
"Bekaa | Selsata Mazraat Dier el Aachayer - مزرعة سلساتا"
"Bekaa | Sohmor - سحمر"
"Bekaa | Souairi - صويري"
"Bekaa | Soultan Yaaqoub Aradi - سلطان يعقوب أراضي"
"Bekaa | Soultane Yaaqoub el Faouqa - سلطان يعقوب الفوقا"
"Bekaa | Soultane Yaaqoub el Tahta - سلطان يعقوب التحتا"
"Bekaa | Taalabaya - تعلبايا"
"Bekaa | Taanayel - تعنايل"
"Bekaa | Tall Znoub - تل زنوب"
"Bekaa | Tall Znoub ej Jdide - تل زنوب جديدة"
"Bekaa | Tall el Akhdar - تل الاخضر"
"Bekaa | Tall ez Zaazeaa - تل الزعزع"
"Bekaa | Tannoura - تنورة"
"Bekaa | Tcheflik Eddeh Haouch - تشفلك اده حوش"
"Bekaa | Tcheflik Qiqano - تشفلك قيقانو"
"Bekaa | Tell Chiha - تل شيحا"
"Bekaa | Tell el Aamara - تل العمارة"
"Bekaa | Terbol - تربل"
"Bekaa | Touaite - تويتي"
"Bekaa | Yanta - ينطا"
"Bekaa | Yohmor West Bekaa - يحمر بقاع الغربي"
"Bekaa | Zahle  Mar Antonios - زحلة مار أنطونيوس"
"Bekaa | Zahle  Mar Gerges - زحلة مار جرجس"
"Bekaa | Zahle  Saydet En Najat - زحلة  سيدة النجاة"
"Bekaa | Zahle - زحلة"
"Bekaa | Zahle Aradi - زحلة أراضي"
"Bekaa | Zahle Maalaqa Aradi - زحلة معلقة أراضي"
"Bekaa | Zebdol - زبدل"
"Bekaa | Zellaya - زلايا"
"Bekaa | إبن سينا"
"Bekaa | بقاع الغربي"
"El Nabatieh |  MAZRAAT ZAIYEH  - مزرعة زئية"
"El Nabatieh | Aabba - عبا"
"El Nabatieh | Aadaisse - عديسة مرجعيون"
"El Nabatieh | Aadchit ech Chqif - عدشيت الشقيف"
"El Nabatieh | Aadchit el Qoussair - عدشيت القصير"
"El Nabatieh | Aainata - عيناتا بنت جبيل"
"El Nabatieh | Aaitaroun - عيترون"
"El Nabatieh | Aali et Taher - علي الطاهر"
"El Nabatieh | Aalmane - علمانة"
"El Nabatieh | Aamra - عمرة"
"El Nabatieh | Aarab el Louaize - عرب اللويزة"
"El Nabatieh | Aarnoun - أرنون"
"El Nabatieh | Aayta ej Jabal Zott - عيتا الجبل الزط"
"El Nabatieh | Aazze - عزه"
"El Nabatieh | Abou Qamha - أبو قمحة"
"El Nabatieh | Ain Aarab Marjaayoun - عين عرب مرجعيون"
"El Nabatieh | Ain Ebel - عين ابل"
"El Nabatieh | Ain Jerfa - عين جرفا"
"El Nabatieh | Ain Qana - عين قانا"
"El Nabatieh | Ain Qenya - عين قنيا"
"El Nabatieh | Ain Tanta - عين تنتا حاصبيا"
"El Nabatieh | Aita Ech Chaab - عيتا الشعب"
"El Nabatieh | Arab Salim - عرب صاليم"
"El Nabatieh | Ayn et Tine - عين التينة حاصبيا"
"El Nabatieh | Baiyouda - بويضة مرجعيون"
"El Nabatieh | Bathaniye - بيتسنيا"
"El Nabatieh | Beit Lif - بيت ليف"
"El Nabatieh | Beit Yahnoun - بيت ياحون"
"El Nabatieh | Beni Haiyane - بني حيان"
"El Nabatieh | Bent Jubail - بنت جبيل"
"El Nabatieh | Berghoz - برغز"
"El Nabatieh | Bir es Sanassel - بير السناسل"
"El Nabatieh | Blat Marjaayoun - بلاط مرجعيون"
"El Nabatieh | Blida - بليدا"
"El Nabatieh | Borj El Mlouk - برج الملوك"
"El Nabatieh | Borj Qalaouiye - برج قلويه"
"El Nabatieh | Braachit - برعشيت"
"El Nabatieh | Braiqaa - بريقع"
"El Nabatieh | Chaqra - شقرا"
"El Nabatieh | Charqiye - شرقية"
"El Nabatieh | Chebaa - شبعا"
"El Nabatieh | Chouaia - شويّا"
"El Nabatieh | Choukine - شوكين"
"El Nabatieh | Debl Oummiya - دبل امية"
"El Nabatieh | Dehayrjate - الدحيرجات"
"El Nabatieh | Deir Mimas - دير ميماس"
"El Nabatieh | Deir Siriane - دير سريان"
"El Nabatieh | Deir ez Zahrani - دير الزهراني"
"El Nabatieh | Dellafi - دلافة"
"El Nabatieh | Dibbine - دبين"
"El Nabatieh | Doubiye - دوبية"
"El Nabatieh | Doueir El Nabatieh - الدوير النبطية"
"El Nabatieh | El Aaqide - عقيدة"
"El Nabatieh | El Bayad - نبطية البياض"
"El Nabatieh | El Birke -  البركه بنت جبيل"
"El Nabatieh | El Biyad - البياد"
"El Nabatieh | El Majidiye - مجيدية حاصبيا"
"El Nabatieh | El Midane - الميدان"
"El Nabatieh | Es Serail - السراي"
"El Nabatieh | Fashkoul - فشكول"
"El Nabatieh | Froun - فرون"
"El Nabatieh | Habbouch - حبوش"
"El Nabatieh | Haddatha - حداثا"
"El Nabatieh | Halta Hasbaya - حلتا حاصبيّا"
"El Nabatieh | Hamra  En-Nabattiyeh - الحمرا النبطية"
"El Nabatieh | Hanine - حنين"
"El Nabatieh | Hariss - حاريص"
"El Nabatieh | Harouf - حروف"
"El Nabatieh | Hasbaiya - حاصبيّا"
"El Nabatieh | Hay el Jameaa - الجامع بنت جبيل"
"El Nabatieh | Hebbariye - هبّارية"
"El Nabatieh | Hima Aarnoun - حمى أرنون"
"El Nabatieh | Hmaile - حميلة"
"El Nabatieh | Houla - حولا"
"El Nabatieh | Houmine el Faouqa - حومين الفوقا"
"El Nabatieh | Houmine et Tahta - حومين التحتا"
"El Nabatieh | Houra - حوره"
"El Nabatieh | Ibl es Saqi - إبل السقي"
"El Nabatieh | Insar - إنصار"
"El Nabatieh | Jaouhariye - جوهرية"
"El Nabatieh | Jbaa El Nabatieh - جباع النبطية"
"El Nabatieh | Jibchit - جبشيت"
"El Nabatieh | Jlali el Ghozlane - جلال الغزلان"
"El Nabatieh | Jmaijime - جميجمة"
"El Nabatieh | Kafra - كفرا"
"El Nabatieh | Kafra Bent Jbeil - كفرا بنت جبيل"
"El Nabatieh | Kaoukaba Hasbaya - كوكبا حاصبيّا"
"El Nabatieh | Kfair - كفير الزيت"
"El Nabatieh | Kfar Chouba - كفر شوبا"
"El Nabatieh | Kfar Dajjal - كفردجال"
"El Nabatieh | Kfar Dounine - كفر دونين"
"El Nabatieh | Kfar Fila - كفرفيلا"
"El Nabatieh | Kfar Hamam - كفرحمام"
"El Nabatieh | Kfar Kila - كفركيلا"
"El Nabatieh | Kfar Roummane - كفر رمان"
"El Nabatieh | Kfar Sir - كفرصير"
"El Nabatieh | Kfar Tebnit - كفر تبنيت"
"El Nabatieh | Kfaroue - كفروة أو بفروة"
"El Nabatieh | Kfour El Nabatieh - الكفور النبطية"
"El Nabatieh | Khallet el Ghazale - خلة الغزالة"
"El Nabatieh | Khalouat el Biyada - خلوات البياضة"
"El Nabatieh | Khiam - الخيام"
"El Nabatieh | Khirbe - خربة برج الملوك"
"El Nabatieh | Khirbet ed Dwayr - خربة الدوير"
"El Nabatieh | Khirbit Silim - خربة سلم"
"El Nabatieh | Khraibe Hasbaya - خريبة حاصبيّا"
"El Nabatieh | Kounine - كونين"
"El Nabatieh | Maifadoun - ميفدون"
"El Nabatieh | Maissate - الميسات"
"El Nabatieh | Majdel Silim - مجدل سلم"
"El Nabatieh | Manzleh - المنزلة"
"El Nabatieh | Marjaayoun - مرجعيون"
"El Nabatieh | Markaba - مركبا"
"El Nabatieh | Maroun er Ras - مارون الراس"
"El Nabatieh | Mazraat Aazze - مزرعة عزه"
"El Nabatieh | Mazraat Ain Bou Souar - مزرعة عين بوسوار"
"El Nabatieh | Mazraat Bsafour - مزرعة بصفُور"
"El Nabatieh | Mazraat Chelbael - مزرعة شلبعل"
"El Nabatieh | Mazraat Dmoul - مزرعة دمول"
"El Nabatieh | Mazraat Doumiat - مزرعة دمياط"
"El Nabatieh | Mazraat Kfar ej Jouz - مزرعة كفر جوز"
"El Nabatieh | Mazraat Maqsam Aali et Taher - مزرعة علي الطاهر"
"El Nabatieh | Mazraat Qafoua - مزرعة قفوى"
"El Nabatieh | Mazraat Qalaat Meis - مزرعة قلعة ميس"
"El Nabatieh | Mazraat Ras el Baidar - مزرعة راس البيدر"
"El Nabatieh | Mazraat Sahsahiye - مزرعة السهسهية"
"El Nabatieh | Mazraat ej Jreine - مزرعة الجرين"
"El Nabatieh | Mazraat el Baiyad - مزرعة البياض"
"El Nabatieh | Mazraat el Khraibe - مزرعة الخريبة"
"El Nabatieh | Meiss ej Jabal - ميس الجبل"
"El Nabatieh | Mhaibib - محيبيب"
"El Nabatieh | Mimes - ميمس"
"El Nabatieh | Nabatiye el Faouqa - نبطية الفوقا"
"El Nabatieh | Nabatiye el Tahta - نبطية التحتا"
"El Nabatieh | Nmairiye - نميرية"
"El Nabatieh | Ouazzani - وزاني"
"El Nabatieh | Qaaqaait ej Jisr - قعقعية الجسر"
"El Nabatieh | Qabrikha - قبريخا"
"El Nabatieh | Qalaat Doubai - قلعة دبي"
"El Nabatieh | Qalaouiye - قلويه"
"El Nabatieh | Qantara - قنطرة"
"El Nabatieh | Qaouzah - قوزح"
"El Nabatieh | Qatmoun - قطموم"
"El Nabatieh | Qlaiaa - قليعة"
"El Nabatieh | Qsaibe El Nabatieh - قصيبة النبطية"
"El Nabatieh | Qsair - قصير"
"El Nabatieh | Rabb et Talatine - رب التلاتين"
"El Nabatieh | Rachaf - رشاف"
"El Nabatieh | Rachaiya el Foukhar - راشيّا الفخار"
"El Nabatieh | Ramiye - رامية بنت جبيل"
"El Nabatieh | Rmaich - رميش"
"El Nabatieh | Roumine - رومين"
"El Nabatieh | Safad el Battikh - صفد البطيخ"
"El Nabatieh | Salhani - الصلحاني"
"El Nabatieh | Sarba El Nabatieh - صربا النبطية"
"El Nabatieh | Sarda - مزرعة  سردة"
"El Nabatieh | Serail - سراي"
"El Nabatieh | Sir el Gharbiye - صير الغربية"
"El Nabatieh | Slaiyeb - صلايب"
"El Nabatieh | Souane Marjaayoun - صوانة مرجعيون"
"El Nabatieh | Soultaniye - سلطانية"
"El Nabatieh | Sribbine - صربين"
"El Nabatieh | Taibe Marjaayoun - طيبة مرجعيون"
"El Nabatieh | Taire - طيري"
"El Nabatieh | Tallet el Qaaqour - تلة القعقور"
"El Nabatieh | Tallouse - طلوسة"
"El Nabatieh | Tebnine - تبنين"
"El Nabatieh | Toul - تول"
"El Nabatieh | Touline - تولين"
"El Nabatieh | Yaroun - يارون"
"El Nabatieh | Yater - ياطر"
"El Nabatieh | Yohmor - يحمر"
"El Nabatieh | Zaghla - زغلة"
"El Nabatieh | Zaoutar ech Charqiye - زوطر الشرقية"
"El Nabatieh | Zaoutar el Gharbiye - زوطر الغربية"
"El Nabatieh | Zebdine El Nabatieh - زبدين النبطية"
"El Nabatieh | Zefta - زفتا"
"Mount Lebanon | Aabadiye - عبادية"
"Mount Lebanon | Aabdine - عبدين نقاش"
"Mount Lebanon | Aabeidat - عبيدات"
"Mount Lebanon | Aabey - عبيه"
"Mount Lebanon | Aaboud - عبود"
"Mount Lebanon | Aabri - عبري"
"Mount Lebanon | Aachqout - عشقوت"
"Mount Lebanon | Aafs - عفص"
"Mount Lebanon | Aafs jbeil - عفص"
"Mount Lebanon | Aafs kesrwane - عفص كسروان"
"Mount Lebanon | Aainat - عينات"
"Mount Lebanon | Aairoun - عيرون"
"Mount Lebanon | Aajaltoun - عجلتون"
"Mount Lebanon | Aaley ej Jdide - عاليه الجديدة"
"Mount Lebanon | Aalita - عاليتا"
"Mount Lebanon | Aalmane Ech Chouf - علمان الشوف"
"Mount Lebanon | Aamchit - عمشيت"
"Mount Lebanon | Aammariye - عمّارية"
"Mount Lebanon | Aammatour - عمّاطور"
"Mount Lebanon | Aammiq chouf - عميق الشوف"
"Mount Lebanon | Aamroussieh Choueifat - عمروسية الشويفات"
"Mount Lebanon | Aannaya - عنَايا"
"Mount Lebanon | Aanout - عانوت"
"Mount Lebanon | Aaouaini - عويني"
"Mount Lebanon | Aaqbe Zalqa - عقبة الزلقا"
"Mount Lebanon | Aaqline - عقلين"
"Mount Lebanon | Aaqoura - عاقورة"
"Mount Lebanon | Aaraar - عرعار"
"Mount Lebanon | Aarab el Lahib - عرب اللهيب"
"Mount Lebanon | Aarabe Ghosta - عربة غوسطا"
"Mount Lebanon | Aaramoun - عرمون"
"Mount Lebanon | Aaramoun Kesrwane - عرمون كسروان"
"Mount Lebanon | Aarasta - عرستا"
"Mount Lebanon | Aarbaniye - عربانية"
"Mount Lebanon | Aatchane - عطشانة"
"Mount Lebanon | Aatrine - عترين"
"Mount Lebanon | Aayoun el Aalaq - عيون العلاق"
"Mount Lebanon | Aayoun es Simane - عيون السيمان"
"Mount Lebanon | Aazibett tahta - عزبيات التحتا"
"Mount Lebanon | Aazrane - عزرانة"
"Mount Lebanon | Aazzouniye - العزونيه"
"Mount Lebanon | Abbdiyeh al Jadideh - عبادية الجديدة"
"Mount Lebanon | Abou Mizane - أبو ميزان"
"Mount Lebanon | Adma Et Dafne - أدما والدفنه"
"Mount Lebanon | Adonis Kesserwan - أدونيس كسروان"
"Mount Lebanon | Adonis Nahr Ibrahim -  ادونيس نهر ابراهيم"
"Mount Lebanon | Afqa - افقا"
"Mount Lebanon | Aghbe - إغبة"
"Mount Lebanon | Ain Aalaq - عين علق"
"Mount Lebanon | Ain Aar - عين عار"
"Mount Lebanon | Ain Aazime - عين عزيمة"
"Mount Lebanon | Ain Abaal - عين ابعل"
"Mount Lebanon | Ain Al Saydeh -  عين السيدة"
"Mount Lebanon | Ain Anoub - عين عنوب"
"Mount Lebanon | Ain Bal - عينبال"
"Mount Lebanon | Ain Bqechqoch - عين بقشقش"
"Mount Lebanon | Ain Dara - عين داره"
"Mount Lebanon | Ain Drafil - عين درافيل"
"Mount Lebanon | Ain Ed Delbe - عين الدلبة"
"Mount Lebanon | Ain Ed Delbe Jbeil - عين الدلبة جبيل"
"Mount Lebanon | Ain Ej Jorn - عين الجرن"
"Mount Lebanon | Ain El Assad - عين الاسد"
"Mount Lebanon | Ain El Kharroube - عين الخروبة"
"Mount Lebanon | Ain El Qabou - عين القبو"
"Mount Lebanon | Ain Er Rihane - عين الريحانة"
"Mount Lebanon | Ain Er Rihane el meten - عين الريحان المتن"
"Mount Lebanon | Ain Es Safsaf el meten - عين الصفصاف المتن"
"Mount Lebanon | Ain Es Sindiane - عين السنديانة"
"Mount Lebanon | Ain Et Tannour - عين التنور"
"Mount Lebanon | Ain Ghalboun - عين غلبون"
"Mount Lebanon | Ain Hala - عين حالا"
"Mount Lebanon | Ain Jouaiya - عين جويا"
"Mount Lebanon | Ain Jrain - عين جرين"
"Mount Lebanon | Ain Kfaa - عين كفاع"
"Mount Lebanon | Ain Ksour - عين كسور"
"Mount Lebanon | Ain Mouaffaq - عين موفق"
"Mount Lebanon | Ain Najm - عين نجم"
"Mount Lebanon | Ain Ouzain - عين وزين"
"Mount Lebanon | Ain Qeni - عين قني"
"Mount Lebanon | Ain Saade - عين سعادة"
"Mount Lebanon | Ain Trez - عين تراز"
"Mount Lebanon | Ain Zaitoune - عين الزيتونة"
"Mount Lebanon | Ain Zhalta - عين زحلتا"
"Mount Lebanon | Ain ed Deir - عين الدير"
"Mount Lebanon | Ain ej Jdide - عين الجديدة"
"Mount Lebanon | Ain el Fraidis -  عين الفريديس"
"Mount Lebanon | Ain el Ghouaibe - عين الغويبة"
"Mount Lebanon | Ain el Halzoun - عين الحلزون"
"Mount Lebanon | Ain el Haour - عين الحور"
"Mount Lebanon | Ain el Jaouze - عين الجوزه"
"Mount Lebanon | Ain el Marj - عين المرج"
